text,intent,satisfaction_score
I need help with a billing dispute Please respond ASAP.,billing_query,1.242
Okay. I have a sore throat and swollen glands,symptom_check,6.090
"This is urgent. My child has a rash and a fever, is this serious",symptom_check,1.808
"I can't make my appointment, cancel it Okay.",cancel_appointment,4.536
"Can I schedule a checkup for next week That helps, thanks.",book_appointment,10.000
I have a sore throat and swollen glands Thank you!,symptom_check,9.326
Not happy with the delay. Book an appointment for a physical exam,book_appointment,1.546
I need a refill for my blood pressure medication Much appreciated.,prescription_refill,8.662
I'm experiencing chest pain and shortness of breath I'm very worried.,symptom_check,2.958
Please respond ASAP. Can you refill my prescription for insulin,prescription_refill,2.151
Requesting a refill for my meds Thank you!,prescription_refill,8.551
Please cancel my visit with Dr. Smith Whenever possible.,cancel_appointment,5.556
I have a question about my medical bill Much appreciated.,billing_query,8.440
Whenever possible. Book an appointment for a physical exam,book_appointment,3.642
I'm experiencing chest pain and shortness of breath Please respond ASAP.,symptom_check,2.583
"That helps, thanks. I want to know the outcome of my recent labs",lab_results,9.173
Thank you! I need to cancel my appointment tomorrow,cancel_appointment,8.908
Please cancel my visit with Dr. Smith,cancel_appointment,5.627
Okay. Why was I charged for that visit,billing_query,5.042
Not happy with the delay. I'm experiencing chest pain and shortness of breath,symptom_check,2.378
Much appreciated. I need help with a billing dispute,billing_query,7.357
"I'm experiencing chest pain and shortness of breath That helps, thanks.",symptom_check,6.924
I'm experiencing chest pain and shortness of breath I'm very worried.,symptom_check,3.644
Thank you! Can I schedule a checkup for next week,book_appointment,8.758
I need a refill for my blood pressure medication This is urgent.,prescription_refill,0.450
"I can't make my appointment, cancel it",cancel_appointment,5.666
I have a question about my medical bill,billing_query,6.023
Can I schedule a checkup for next week Please respond ASAP.,book_appointment,2.447
"That helps, thanks. Are my test results available",lab_results,7.911
Requesting a refill for my meds,prescription_refill,4.776
I want to know the outcome of my recent labs No rush.,lab_results,4.600
"I need to book an appointment with my primary care doctor That helps, thanks.",book_appointment,9.062
Much appreciated. Can I schedule a checkup for next week,book_appointment,9.096
Why was I charged for that visit Whenever possible.,billing_query,5.987
I want to see a doctor about a routine visit No rush.,book_appointment,6.115
I want to know the outcome of my recent labs This is urgent.,lab_results,3.595
I need to book an appointment with my primary care doctor,book_appointment,5.516
Why was I charged for that visit Okay.,billing_query,6.051
Please respond ASAP. Are my test results available,lab_results,4.000
Can you refill my prescription for insulin Whenever possible.,prescription_refill,5.342
Can I schedule a checkup for next week 🙂,book_appointment,8.826
This is urgent. Are my test results available,lab_results,4.106
Please process my prescription refill Okay.,prescription_refill,6.351
"I have a sore throat and swollen glands That helps, thanks.",symptom_check,8.684
"I've had a fever and cough for two days, what should I do Please respond ASAP.",symptom_check,2.962
I want to know the outcome of my recent labs Not happy with the delay.,lab_results,2.484
Can you refill my prescription for insulin 🙂,prescription_refill,10.000
Cancel my scheduled appointment No rush.,cancel_appointment,6.749
Okay. Requesting a refill for my meds,prescription_refill,6.874
Please explain this insurance charge Please respond ASAP.,billing_query,0.519
I want to know the outcome of my recent labs No rush.,lab_results,5.657
Can I schedule a checkup for next week Much appreciated.,book_appointment,6.770
Please explain this insurance charge Please respond ASAP.,billing_query,1.923
Are my test results available Not happy with the delay.,lab_results,2.164
I have a question about my medical bill Okay.,billing_query,5.603
I have a sore throat and swollen glands,symptom_check,6.045
"This is urgent. I can't make my appointment, cancel it",cancel_appointment,2.948
Please process my prescription refill No rush.,prescription_refill,3.386
Why was I charged for that visit Okay.,billing_query,4.467
Can you send me my blood test results I'm very worried.,lab_results,2.871
Can you send me my blood test results This is urgent.,lab_results,1.129
I need to cancel my appointment tomorrow,cancel_appointment,5.841
I have a question about my medical bill Whenever possible.,billing_query,5.027
"I can't make my appointment, cancel it No rush.",cancel_appointment,5.425
I want to know the outcome of my recent labs No rush.,lab_results,4.181
Have my lab results come in yet Okay.,lab_results,5.377
Please respond ASAP. I have a sore throat and swollen glands,symptom_check,1.195
"I've had a fever and cough for two days, what should I do Not happy with the delay.",symptom_check,1.882
"I can't make my appointment, cancel it Okay.",cancel_appointment,4.658
Requesting a refill for my meds Not happy with the delay.,prescription_refill,3.915
Can you refill my prescription for insulin 🙂,prescription_refill,9.881
I have a question about my medical bill Whenever possible.,billing_query,4.583
Thank you! I have a sore throat and swollen glands,symptom_check,7.626
Have my lab results come in yet Not happy with the delay.,lab_results,0.544
Requesting a refill for my meds,prescription_refill,6.126
Can I schedule a checkup for next week Much appreciated.,book_appointment,9.714
Why was I charged for that visit This is urgent.,billing_query,1.109
Why was I charged for that visit Please respond ASAP.,billing_query,3.227
I need to cancel my appointment tomorrow 🙂,cancel_appointment,9.193
Thank you! I have a question about my medical bill,billing_query,9.441
I want to see a doctor about a routine visit Please respond ASAP.,book_appointment,1.060
I have a question about my medical bill 🙂,billing_query,9.080
Please explain this insurance charge,billing_query,4.602
I'm very worried. Please explain this insurance charge,billing_query,2.193
Can you send me my blood test results This is urgent.,lab_results,3.843
I need a refill for my blood pressure medication I'm very worried.,prescription_refill,1.439
Thank you! Book an appointment for a physical exam,book_appointment,8.821
Please cancel my visit with Dr. Smith Much appreciated.,cancel_appointment,10.000
Can you send me my blood test results 🙂,lab_results,9.287
Please respond ASAP. I'm experiencing chest pain and shortness of breath,symptom_check,2.157
Please cancel my visit with Dr. Smith Okay.,cancel_appointment,6.167
Thank you! Please process my prescription refill,prescription_refill,9.084
"That helps, thanks. Can you send me my blood test results",lab_results,7.497
I need to cancel my appointment tomorrow 🙂,cancel_appointment,8.103
Okay. I have a sore throat and swollen glands,symptom_check,3.611
Please respond ASAP. Cancel my scheduled appointment,cancel_appointment,0.603
Have my lab results come in yet I'm very worried.,lab_results,1.393
Can I schedule a checkup for next week Much appreciated.,book_appointment,10.000
Can you send me my blood test results Whenever possible.,lab_results,6.308
Not happy with the delay. Can you refill my prescription for insulin,prescription_refill,2.872
Book an appointment for a physical exam Please respond ASAP.,book_appointment,1.682
I need help with a billing dispute Okay.,billing_query,4.812
Can I schedule a checkup for next week I'm very worried.,book_appointment,1.119
"No rush. I've had a fever and cough for two days, what should I do",symptom_check,6.298
Much appreciated. I need to book an appointment with my primary care doctor,book_appointment,8.327
Can I schedule a checkup for next week,book_appointment,4.036
Whenever possible. Have my lab results come in yet,lab_results,5.487
This is urgent. Can I schedule a checkup for next week,book_appointment,0.247
"I'm very worried. I can't make my appointment, cancel it",cancel_appointment,0.072
Book an appointment for a physical exam Much appreciated.,book_appointment,9.269
🙂 I need a refill for my blood pressure medication,prescription_refill,9.501
Please respond ASAP. I want to know the outcome of my recent labs,lab_results,1.276
Can I schedule a checkup for next week Whenever possible.,book_appointment,5.106
Thank you! I need to cancel my appointment tomorrow,cancel_appointment,10.000
"I've had a fever and cough for two days, what should I do Please respond ASAP.",symptom_check,1.203
Can you send me my blood test results I'm very worried.,lab_results,1.567
"Please explain this insurance charge That helps, thanks.",billing_query,8.569
I'm experiencing chest pain and shortness of breath 🙂,symptom_check,8.826
"Whenever possible. My child has a rash and a fever, is this serious",symptom_check,5.959
Thank you! I need help with a billing dispute,billing_query,8.360
Please process my prescription refill Thank you!,prescription_refill,8.443
Are my test results available Whenever possible.,lab_results,4.297
"Much appreciated. My child has a rash and a fever, is this serious",symptom_check,8.397
"I can't make my appointment, cancel it No rush.",cancel_appointment,5.278
Can you send me my blood test results,lab_results,7.495
Please respond ASAP. I need a refill for my blood pressure medication,prescription_refill,2.481
I want to know the outcome of my recent labs Please respond ASAP.,lab_results,0.000
Whenever possible. I have a question about my medical bill,billing_query,5.309
"My child has a rash and a fever, is this serious 🙂",symptom_check,8.735
This is urgent. I want to see a doctor about a routine visit,book_appointment,1.568
I'm experiencing chest pain and shortness of breath I'm very worried.,symptom_check,1.439
Are my test results available,lab_results,5.868
Not happy with the delay. I need a refill for my blood pressure medication,prescription_refill,3.375
"I can't make my appointment, cancel it 🙂",cancel_appointment,8.098
"I've had a fever and cough for two days, what should I do This is urgent.",symptom_check,3.917
Okay. Cancel my scheduled appointment,cancel_appointment,5.533
This is urgent. Are my test results available,lab_results,2.169
Please explain this insurance charge No rush.,billing_query,6.632
"My child has a rash and a fever, is this serious That helps, thanks.",symptom_check,9.712
"Can I schedule a checkup for next week That helps, thanks.",book_appointment,8.336
Why was I charged for that visit I'm very worried.,billing_query,3.707
No rush. Have my lab results come in yet,lab_results,4.719
Requesting a refill for my meds Whenever possible.,prescription_refill,5.201
"Can you send me my blood test results That helps, thanks.",lab_results,8.907
Can you refill my prescription for insulin,prescription_refill,4.305
I need to book an appointment with my primary care doctor I'm very worried.,book_appointment,1.227
I want to know the outcome of my recent labs This is urgent.,lab_results,2.486
Please explain this insurance charge,billing_query,6.862
No rush. Are my test results available,lab_results,5.339
I need to book an appointment with my primary care doctor I'm very worried.,book_appointment,0.000
"I can't make my appointment, cancel it",cancel_appointment,4.418
I'm very worried. Please explain this insurance charge,billing_query,1.632
This is urgent. Can you send me my blood test results,lab_results,3.073
I have a sore throat and swollen glands,symptom_check,6.677
Thank you! I want to know the outcome of my recent labs,lab_results,6.663
Have my lab results come in yet I'm very worried.,lab_results,2.973
"My child has a rash and a fever, is this serious Okay.",symptom_check,5.073
I'm very worried. Why was I charged for that visit,billing_query,1.219
Book an appointment for a physical exam Not happy with the delay.,book_appointment,0.000
"I've had a fever and cough for two days, what should I do I'm very worried.",symptom_check,2.871
I need to cancel my appointment tomorrow 🙂,cancel_appointment,8.038
I'm experiencing chest pain and shortness of breath 🙂,symptom_check,8.562
"I can't make my appointment, cancel it Thank you!",cancel_appointment,9.288
Thank you! Can I schedule a checkup for next week,book_appointment,8.977
"That helps, thanks. I want to know the outcome of my recent labs",lab_results,8.700
Much appreciated. Can I schedule a checkup for next week,book_appointment,7.257
"Please cancel my visit with Dr. Smith That helps, thanks.",cancel_appointment,9.294
Can I schedule a checkup for next week No rush.,book_appointment,6.981
I need a refill for my blood pressure medication I'm very worried.,prescription_refill,2.894
Whenever possible. Please cancel my visit with Dr. Smith,cancel_appointment,3.322
I have a sore throat and swollen glands I'm very worried.,symptom_check,2.199
Can you refill my prescription for insulin I'm very worried.,prescription_refill,3.486
🙂 I need to book an appointment with my primary care doctor,book_appointment,7.819
Why was I charged for that visit Whenever possible.,billing_query,4.262
Are my test results available,lab_results,5.492
I need a refill for my blood pressure medication Much appreciated.,prescription_refill,9.325
Can you send me my blood test results This is urgent.,lab_results,3.496
"I can't make my appointment, cancel it No rush.",cancel_appointment,5.220
Much appreciated. I want to see a doctor about a routine visit,book_appointment,10.000
Not happy with the delay. Can I schedule a checkup for next week,book_appointment,3.234
Please process my prescription refill This is urgent.,prescription_refill,4.687
Can I schedule a checkup for next week Not happy with the delay.,book_appointment,2.189
Not happy with the delay. Please explain this insurance charge,billing_query,3.468
I need to cancel my appointment tomorrow Thank you!,cancel_appointment,7.630
I need to book an appointment with my primary care doctor This is urgent.,book_appointment,0.116
"Are my test results available That helps, thanks.",lab_results,7.471
Cancel my scheduled appointment Please respond ASAP.,cancel_appointment,0.628
Can you send me my blood test results Not happy with the delay.,lab_results,2.551
I'm very worried. I have a sore throat and swollen glands,symptom_check,2.691
Not happy with the delay. Cancel my scheduled appointment,cancel_appointment,0.825
I need to book an appointment with my primary care doctor Much appreciated.,book_appointment,10.000
Please cancel my visit with Dr. Smith,cancel_appointment,4.069
Whenever possible. Please explain this insurance charge,billing_query,5.336
Have my lab results come in yet Please respond ASAP.,lab_results,0.336
Why was I charged for that visit,billing_query,4.774
I need help with a billing dispute Whenever possible.,billing_query,7.414
Are my test results available Not happy with the delay.,lab_results,2.343
Okay. I need help with a billing dispute,billing_query,4.013
This is urgent. I'm experiencing chest pain and shortness of breath,symptom_check,3.050
This is urgent. Have my lab results come in yet,lab_results,2.080
Cancel my scheduled appointment,cancel_appointment,5.681
I'm experiencing chest pain and shortness of breath I'm very worried.,symptom_check,4.224
Book an appointment for a physical exam Much appreciated.,book_appointment,9.356
I have a sore throat and swollen glands Whenever possible.,symptom_check,5.232
I have a sore throat and swollen glands,symptom_check,4.473
"I'm very worried. I've had a fever and cough for two days, what should I do",symptom_check,0.000
"I can't make my appointment, cancel it That helps, thanks.",cancel_appointment,7.100
Have my lab results come in yet Much appreciated.,lab_results,8.924
Requesting a refill for my meds 🙂,prescription_refill,7.978
Have my lab results come in yet Please respond ASAP.,lab_results,0.424
No rush. Can you send me my blood test results,lab_results,5.529
"I need to book an appointment with my primary care doctor That helps, thanks.",book_appointment,9.669
"I can't make my appointment, cancel it 🙂",cancel_appointment,9.469
Book an appointment for a physical exam Whenever possible.,book_appointment,6.278
Please respond ASAP. Have my lab results come in yet,lab_results,2.649
Have my lab results come in yet Okay.,lab_results,6.126
"My child has a rash and a fever, is this serious Whenever possible.",symptom_check,5.125
"Are my test results available That helps, thanks.",lab_results,8.715
This is urgent. Are my test results available,lab_results,1.986
I want to know the outcome of my recent labs This is urgent.,lab_results,2.397
"🙂 I can't make my appointment, cancel it",cancel_appointment,8.083
Please respond ASAP. Requesting a refill for my meds,prescription_refill,0.098
"Much appreciated. My child has a rash and a fever, is this serious",symptom_check,7.572
"My child has a rash and a fever, is this serious Okay.",symptom_check,4.932
I want to see a doctor about a routine visit Not happy with the delay.,book_appointment,1.717
Thank you! I want to see a doctor about a routine visit,book_appointment,8.469
Please explain this insurance charge Okay.,billing_query,4.850
Why was I charged for that visit This is urgent.,billing_query,1.486
"Why was I charged for that visit That helps, thanks.",billing_query,8.826
I need a refill for my blood pressure medication This is urgent.,prescription_refill,2.170
Please process my prescription refill Thank you!,prescription_refill,8.140
This is urgent. I have a sore throat and swollen glands,symptom_check,0.521
Cancel my scheduled appointment Please respond ASAP.,cancel_appointment,2.592
Please respond ASAP. I need help with a billing dispute,billing_query,1.619
Thank you! Please process my prescription refill,prescription_refill,8.284
Not happy with the delay. I need to book an appointment with my primary care doctor,book_appointment,1.964
Can you refill my prescription for insulin Much appreciated.,prescription_refill,6.998
Have my lab results come in yet This is urgent.,lab_results,1.704
Please respond ASAP. I need to cancel my appointment tomorrow,cancel_appointment,2.957
I want to see a doctor about a routine visit 🙂,book_appointment,7.558
Can I schedule a checkup for next week No rush.,book_appointment,6.435
I'm very worried. I have a question about my medical bill,billing_query,1.479
Cancel my scheduled appointment 🙂,cancel_appointment,8.196
This is urgent. Please explain this insurance charge,billing_query,3.181
I need to book an appointment with my primary care doctor Thank you!,book_appointment,6.653
Whenever possible. Please process my prescription refill,prescription_refill,5.018
Please respond ASAP. I have a sore throat and swollen glands,symptom_check,3.430
"That helps, thanks. Why was I charged for that visit",billing_query,8.068
"Whenever possible. I can't make my appointment, cancel it",cancel_appointment,5.036
Not happy with the delay. Why was I charged for that visit,billing_query,1.489
Please respond ASAP. Requesting a refill for my meds,prescription_refill,0.575
I need to cancel my appointment tomorrow 🙂,cancel_appointment,8.757
Please respond ASAP. Cancel my scheduled appointment,cancel_appointment,3.512
"Please process my prescription refill That helps, thanks.",prescription_refill,7.744
Whenever possible. Can you send me my blood test results,lab_results,4.575
Can you send me my blood test results I'm very worried.,lab_results,1.957
I'm very worried. Can you refill my prescription for insulin,prescription_refill,1.918
No rush. I have a sore throat and swollen glands,symptom_check,4.195
🙂 Why was I charged for that visit,billing_query,9.062
"That helps, thanks. Why was I charged for that visit",billing_query,9.198
"Please process my prescription refill That helps, thanks.",prescription_refill,8.449
Okay. I need a refill for my blood pressure medication,prescription_refill,5.669
I need help with a billing dispute Please respond ASAP.,billing_query,3.070
Whenever possible. I need to book an appointment with my primary care doctor,book_appointment,6.047
Can you refill my prescription for insulin Thank you!,prescription_refill,9.655
"Okay. I've had a fever and cough for two days, what should I do",symptom_check,3.350
"My child has a rash and a fever, is this serious Thank you!",symptom_check,10.000
Please respond ASAP. I have a question about my medical bill,billing_query,0.698
Please respond ASAP. I have a sore throat and swollen glands,symptom_check,0.313
No rush. I need a refill for my blood pressure medication,prescription_refill,5.568
Not happy with the delay. I need to book an appointment with my primary care doctor,book_appointment,1.102
🙂 I have a question about my medical bill,billing_query,9.301
I want to see a doctor about a routine visit This is urgent.,book_appointment,2.248
"That helps, thanks. I'm experiencing chest pain and shortness of breath",symptom_check,9.600
Please cancel my visit with Dr. Smith Okay.,cancel_appointment,5.810
I need to cancel my appointment tomorrow Whenever possible.,cancel_appointment,5.205
Please respond ASAP. Are my test results available,lab_results,2.541
Can I schedule a checkup for next week Please respond ASAP.,book_appointment,1.882
Whenever possible. I need to book an appointment with my primary care doctor,book_appointment,5.784
Can I schedule a checkup for next week This is urgent.,book_appointment,0.224
I have a question about my medical bill,billing_query,4.065
Okay. Are my test results available,lab_results,3.929
Okay. I have a question about my medical bill,billing_query,5.135
Can you send me my blood test results I'm very worried.,lab_results,2.131
"That helps, thanks. Please cancel my visit with Dr. Smith",cancel_appointment,8.598
Requesting a refill for my meds Please respond ASAP.,prescription_refill,1.208
"I can't make my appointment, cancel it No rush.",cancel_appointment,4.575
Please process my prescription refill,prescription_refill,5.442
Please cancel my visit with Dr. Smith Much appreciated.,cancel_appointment,8.252
"That helps, thanks. I've had a fever and cough for two days, what should I do",symptom_check,7.258
"My child has a rash and a fever, is this serious I'm very worried.",symptom_check,3.096
Not happy with the delay. Have my lab results come in yet,lab_results,1.436
Please respond ASAP. Are my test results available,lab_results,2.214
This is urgent. Can you send me my blood test results,lab_results,0.491
I need help with a billing dispute Please respond ASAP.,billing_query,0.000
Please cancel my visit with Dr. Smith,cancel_appointment,6.194
Please explain this insurance charge Whenever possible.,billing_query,6.246
Thank you! Please process my prescription refill,prescription_refill,7.062
I'm experiencing chest pain and shortness of breath No rush.,symptom_check,4.622
Why was I charged for that visit Okay.,billing_query,4.631
"Whenever possible. I can't make my appointment, cancel it",cancel_appointment,5.178
Whenever possible. Cancel my scheduled appointment,cancel_appointment,5.476
Please respond ASAP. Requesting a refill for my meds,prescription_refill,0.000
Can you send me my blood test results Please respond ASAP.,lab_results,0.211
I have a question about my medical bill This is urgent.,billing_query,0.000
I'm experiencing chest pain and shortness of breath Not happy with the delay.,symptom_check,2.916
I have a question about my medical bill This is urgent.,billing_query,1.990
I need to book an appointment with my primary care doctor I'm very worried.,book_appointment,3.754
"That helps, thanks. Book an appointment for a physical exam",book_appointment,8.380
I need to book an appointment with my primary care doctor 🙂,book_appointment,9.251
I want to know the outcome of my recent labs Thank you!,lab_results,9.177
